Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,MATVEC,0.00851346,1,32000,0,32
GPU,MATVEC,0.00848959,1,32000,1,32
GPU,MATVEC,0.00851575,1,32000,2,32
GPU,MATVEC,0.00848820,1,32000,3,32
GPU,MATVEC,0.00848624,1,32000,4,32
CPU,MATVEC,0.00000000,1,32000,0,1
CPU,MATVEC,0.00000000,1,32000,1,1
CPU,MATVEC,0.00000000,1,32000,2,1
CPU,MATVEC,0.00000000,1,32000,3,1
CPU,MATVEC,0.00000000,1,32000,4,1
